original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
The Kid,1921,"Comedy, Drama, Family",68,USA,"English, None",83.0,0.026916,100.0
A Woman of Paris: A Drama of Fate,1923,"Drama, Romance",82,USA,"None, English",70.0,0.011233,92.0
The Gold Rush,1925,"Adventure, Comedy, Drama",95,USA,"English, None",82.0,0.026916,100.0
Metropolis,1927,"Drama, Sci-Fi",153,Germany,German,83.0,1.349711,97.0
Sunrise: A Song of Two Humans,1927,"Drama, Romance",94,USA,English,81.0,0.121107,98.0
Wings,1927,"Drama, Romance, War",144,USA,English,75.0,0.000746,93.0
The Circus,1928,"Comedy, Romance",72,USA,English,81.0,0.026916,96.0
City Lights,1931,"Comedy, Drama, Romance",87,USA,English,85.0,0.046008,98.0
Dracula,1931,"Drama, Fantasy, Horror",75,USA,"English, Hungarian, Latin",75.0,0.085204,92.0
Dr. Jekyll and Mr. Hyde,1931,"Horror, Sci-Fi",98,USA,English,76.0,0.016615,90.0
Freaks,1932,"Drama, Horror",64,USA,"English, German, French",79.0,0.004072,95.0
The Old Dark House,1932,"Comedy, Horror, Thriller",72,USA,English,71.0,0.034649,96.0
Duck Soup,1933,"Comedy, Musical, War",69,USA,English,78.0,0.1038,92.0
42nd Street,1933,"Comedy, Musical, Romance",89,USA,English,74.0,0.0016,96.0
The Invisible Man,1933,"Horror, Sci-Fi",71,USA,English,77.0,0.027105,94.0
King Kong,1933,"Adventure, Horror, Sci-Fi",100,USA,English,79.0,0.000651,98.0
L'Atalante,1934,"Comedy, Drama, Romance",89,France,"French, Russian",78.0,0.009505,100.0
The Gay Divorcee,1934,"Comedy, Musical, Romance",107,USA,"English, French, Italian",75.0,0.00675,93.0
Treasure Island,1934,"Adventure, Family",110,USA,English,71.0,4.95732,100.0
Twentieth Century,1934,"Comedy, Romance",91,USA,"English, German",74.0,0.0098,86.0
The 39 Steps,1935,"Mystery, Thriller",86,UK,English,76.0,0.051711,96.0
A Night at the Opera,1935,"Comedy, Music, Musical",96,USA,"English, Italian",79.0,3.9567,98.0
Roberta,1935,"Comedy, Musical, Romance",106,USA,"English, French, Russian",71.0,0.002493,86.0
Fury,1936,"Crime, Drama, Film-Noir",92,USA,English,79.0,0.011712,100.0
Modern Times,1936,"Comedy, Drama, Family",87,USA,English,85.0,0.457688,100.0
Swing Time,1936,"Comedy, Musical, Romance",103,USA,"English, French",76.0,0.004961,97.0
Pépé le Moko,1937,"Crime, Drama, Romance",94,France,"French, Arabic",77.0,0.155895,100.0
Shall We Dance,1937,"Comedy, Musical, Romance",109,USA,"English, French",75.0,0.006662,89.0
Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",83,USA,English,76.0,184.925486,98.0
Bringing Up Baby,1938,"Comedy, Family, Romance",102,USA,English,79.0,0.01118,93.0
Holiday,1938,"Comedy, Romance",95,USA,English,78.0,0.014486,100.0
The Lady Vanishes,1938,"Mystery, Thriller",96,UK,"English, German, French, Italian",78.0,0.039776,98.0
Drums Along the Mohawk,1939,"Drama, History, Romance",104,USA,English,71.0,0.01036,82.0
Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,USA,English,81.0,0.144738,96.0
Only Angels Have Wings,1939,"Adventure, Drama, Romance",121,USA,"English, Spanish",77.0,0.008554,100.0
The Wizard of Oz,1939,"Adventure, Family, Fantasy",102,USA,English,80.0,26.142032,98.0
The Women,1939,"Comedy, Drama",133,USA,"English, French",78.0,0.016161,92.0
Wuthering Heights,1939,"Drama, Romance",104,USA,English,76.0,0.624643,96.0
The Great Dictator,1940,"Comedy, Drama, War",125,USA,"English, Esperanto",84.0,0.969879,93.0
The Letter,1940,"Crime, Drama, Film-Noir",95,USA,English,76.0,0.016455,100.0
The Mark of Zorro,1940,"Action, Adventure, Romance",94,USA,"English, Spanish",75.0,0.003424,91.0
The Philadelphia Story,1940,"Comedy, Romance",112,USA,"English, French",79.0,0.411442,100.0
Pinocchio,1940,"Animation, Comedy, Family",88,USA,English,74.0,121.892045,100.0
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99,USA,English,81.0,0.036368,100.0
Waterloo Bridge,1940,"Drama, Romance, War",108,USA,"English, French",78.0,0.031111,80.0
Citizen Kane,1941,"Drama, Mystery",119,USA,"English, Italian",83.0,1.594107,100.0
Dumbo,1941,"Animation, Drama, Family",64,USA,English,72.0,0.003731,98.0
The Lady Eve,1941,"Comedy, Romance",94,USA,English,78.0,0.01302,100.0
The Maltese Falcon,1941,"Film-Noir, Mystery",100,USA,English,80.0,0.001255,100.0
The Sea Wolf,1941,"Adventure, Drama",100,USA,English,75.0,0.006192,100.0
Sergeant York,1941,"Biography, Drama, History",134,USA,"English, French, German",77.0,16.364924,86.0
Sullivan's Travels,1941,"Adventure, Comedy, Drama",90,USA,English,79.0,0.010249,100.0
The Wolf Man,1941,Horror,70,USA,English,73.0,0.00042,90.0
Bambi,1942,"Animation, Drama, Family",70,USA,English,73.0,267.44715,90.0
Casablanca,1942,"Drama, Romance, War",102,USA,"English, French, German, Italian",85.0,4.374761,99.0
Jungle Book,1942,"Action, Adventure, Family",108,"USA, UK",English,67.0,3.905444,57.0
Kings Row,1942,"Drama, Mystery, Romance",127,USA,"English, French",75.0,5.093,100.0
Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",64.0,76.019048,50.0
Went the Day Well?,1942,"Thriller, War",92,UK,"English, German",75.0,0.047214,93.0
